"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
458,437,139,117,0.7965217391304348,0.7888086642599278,0.7965217391304348,0.7965217391304348,0.7815699658703071,0.7775847089487402,0.5551838556086603,3,"all","NB#3","NB",3
430,494,82,145,0.8576388888888888,0.83984375,0.8576388888888888,0.8576388888888888,0.8131687242798353,0.8027801911381407,0.60552256630688,3,"all","MLP#3","MLP",3
468,424,152,107,0.8139130434782609,0.7984934086629002,0.8139130434782609,0.8139130434782609,0.7832635983263598,0.7749782797567333,0.5499867913562636,4,"all","DT#4","DT",4
482,495,81,93,0.859375,0.8561278863232682,0.859375,0.859375,0.8505154639175259,0.8488271068635969,0.6976485081251471,4,"all","RF#4","RF",4
406,488,88,169,0.8472222222222222,0.8218623481781376,0.8472222222222222,0.8472222222222222,0.7915652879156527,0.7767158992180713,0.5533768471084176,4,"all","NB#4","NB",4
469,466,110,106,0.8156521739130435,0.8146853146853147,0.8156521739130435,0.8156521739130435,0.8128249566724436,0.8123370981754996,0.6246761794916698,4,"all","MLP#4","MLP",4
440,434,142,135,0.7652173913043478,0.7627416520210897,0.7652173913043478,0.7652173913043478,0.7605877268798618,0.7593397046046916,0.518684132263095,5,"all","DT#5","DT",5
466,517,59,109,0.8975694444444444,0.8876190476190476,0.8975694444444444,0.8975694444444444,0.8602329450915142,0.8540399652476107,0.7080576734354947,5,"all","RF#5","RF",5
542,219,357,33,0.9426086956521739,0.8690476190476191,0.9426086956521739,0.9426086956521739,0.7354138398914518,0.6611642050390965,0.3226592065475221,5,"all","NB#5","NB",5
466,483,93,109,0.8385416666666666,0.8336314847942755,0.8385416666666666,0.8385416666666666,0.827054794520548,0.8245004344048653,0.6489921254136573,5,"all","MLP#5","MLP",5
460,419,157,115,0.8,0.7846441947565543,0.8,0.8,0.7718120805369127,0.7636837532580365,0.527397115521057,6,"all","DT#6","DT",6
473,505,71,102,0.8767361111111112,0.8694852941176471,0.8767361111111112,0.8767361111111112,0.8537616229923922,0.8496959165942659,0.699377537294167,6,"all","RF#6","RF",6
493,379,197,82,0.8573913043478261,0.8221258134490239,0.8573913043478261,0.8573913043478261,0.7794466403162055,0.7576020851433536,0.5152879557443982,6,"all","NB#6","NB",6
457,482,94,118,0.8368055555555556,0.8294010889292196,0.8368055555555556,0.8368055555555556,0.8197278911564625,0.8158123370981755,0.6316110487094942,6,"all","MLP#6","MLP",6
464,453,123,111,0.8069565217391305,0.8031914893617021,0.8069565217391305,0.8069565217391305,0.7986230636833047,0.7966985230234579,0.5934041049980979,7,"all","DT#7","DT",7
484,518,58,91,0.8993055555555556,0.8929889298892989,0.8993055555555556,0.8993055555555556,0.8742616033755275,0.8705473501303215,0.741081605816715,7,"all","RF#7","RF",7
484,406,170,91,0.8417391304347827,0.8169014084507042,0.8417391304347827,0.8417391304347827,0.7876322213181448,0.7732406602953953,0.5465350599792597,7,"all","NB#7","NB",7
450,489,87,125,0.8489583333333334,0.8379888268156425,0.8489583333333334,0.8489583333333334,0.8218487394957983,0.8158123370981755,0.6316032622644414,7,"all","MLP#7","MLP",7
458,421,155,117,0.7965217391304348,0.7825278810408922,0.7965217391304348,0.7965217391304348,0.771043771043771,0.7636837532580365,0.5273942618026141,8,"all","DT#8","DT",8
478,483,93,97,0.8385416666666666,0.8371278458844134,0.8385416666666666,0.8385416666666666,0.8356401384083045,0.8349261511728931,0.6698500594810356,8,"all","RF#8","RF",8
148,554,22,427,0.9618055555555556,0.8705882352941177,0.9618055555555556,0.9618055555555556,0.7116249197174052,0.6099044309296264,0.21933096171421243,8,"all","NB#8","NB",8
458,455,121,117,0.7965217391304348,0.7954545454545454,0.7965217391304348,0.7965217391304348,0.7937608318890814,0.7932232841007819,0.5864487533287842,8,"all","MLP#8","MLP",8
