"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
286,271,48,33,0.896551724137931,0.8914473684210527,0.896551724137931,0.896551724137931,0.8759571209800918,0.8730407523510971,0.7460815047021943,5,"all","DT#5","DT",5
292,299,20,27,0.9373040752351097,0.9358974358974359,0.9373040752351097,0.9373040752351097,0.9271317829457365,0.9263322884012539,0.8526645768025078,5,"all","RF#5","RF",5
278,238,81,41,0.8714733542319749,0.8530465949820788,0.8714733542319749,0.8714733542319749,0.8200589970501475,0.8087774294670846,0.6175548589341693,5,"all","NB#5","NB",5
298,277,42,21,0.9341692789968652,0.9295302013422819,0.9341692789968652,0.9341692789968652,0.9044006069802731,0.9012539184952978,0.8025078369905956,5,"all","MLP#5","MLP",5
286,277,42,33,0.896551724137931,0.8935483870967742,0.896551724137931,0.896551724137931,0.8840803709428129,0.8824451410658307,0.7648902821316614,6,"all","DT#6","DT",6
288,310,9,31,0.9717868338557993,0.9696969696969697,0.9717868338557993,0.9717868338557993,0.9393939393939393,0.9373040752351097,0.8746081504702194,6,"all","RF#6","RF",6
281,252,67,38,0.8808777429467085,0.8689655172413793,0.8808777429467085,0.8808777429467085,0.8425787106446777,0.835423197492163,0.670846394984326,6,"all","NB#6","NB",6
295,302,17,24,0.9467084639498433,0.9455128205128205,0.9467084639498433,0.9467084639498433,0.9364341085271318,0.9357366771159875,0.871473354231975,6,"all","MLP#6","MLP",6
285,277,42,34,0.8934169278996865,0.8906752411575563,0.8934169278996865,0.8934169278996865,0.8823529411764707,0.8808777429467085,0.761755485893417,7,"all","DT#7","DT",7
297,300,19,22,0.9404388714733543,0.939873417721519,0.9404388714733543,0.9404388714733543,0.9360374414976599,0.9357366771159875,0.871473354231975,7,"all","RF#7","RF",7
282,253,66,37,0.8840125391849529,0.8724137931034482,0.8840125391849529,0.8840125391849529,0.8455772113943028,0.8385579937304075,0.677115987460815,7,"all","NB#7","NB",7
295,289,30,24,0.9247648902821317,0.9233226837060703,0.9247648902821317,0.9247648902821317,0.9161490683229814,0.9153605015673981,0.8307210031347962,7,"all","MLP#7","MLP",7
286,272,47,33,0.896551724137931,0.8918032786885246,0.896551724137931,0.896551724137931,0.8773006134969324,0.8746081504702194,0.7492163009404389,8,"all","DT#8","DT",8
296,298,21,23,0.9341692789968652,0.9337539432176656,0.9341692789968652,0.9341692789968652,0.9312499999999999,0.9310344827586207,0.8620689655172413,8,"all","RF#8","RF",8
283,246,73,36,0.8871473354231975,0.8723404255319149,0.8871473354231975,0.8871473354231975,0.8385185185185186,0.829153605015674,0.6583072100313481,8,"all","NB#8","NB",8
295,297,22,24,0.9310344827586207,0.9305993690851735,0.9310344827586207,0.9310344827586207,0.9281250000000001,0.9278996865203761,0.8557993730407523,8,"all","MLP#8","MLP",8
