"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
564,548,28,11,0.9808695652173913,0.9803220035778175,0.9808695652173913,0.9808695652173913,0.9665809768637532,0.9661164205039097,0.9322345290051434,4,"all","RF#4","RF",4
501,550,26,74,0.9548611111111112,0.9506641366223909,0.9548611111111112,0.9548611111111112,0.9166666666666667,0.9131190269331017,0.8262253303379472,4,"all","NB#4","NB",4
562,542,34,13,0.9773913043478261,0.9765765765765766,0.9773913043478261,0.9773913043478261,0.9598633646456021,0.9591659426585578,0.9183344127073267,4,"all","MLP#4","MLP",4
545,546,30,30,0.9479166666666666,0.9479166666666666,0.9479166666666666,0.9479166666666666,0.9479166666666666,0.947871416159861,0.8957427536231884,5,"all","DT#5","DT",5
556,559,17,19,0.9704861111111112,0.9703315881326352,0.9704861111111112,0.9704861111111112,0.9688041594454073,0.9687228496959166,0.9374454633015197,5,"all","RF#5","RF",5
514,545,31,61,0.9461805555555556,0.9431192660550459,0.9461805555555556,0.9461805555555556,0.922165820642978,0.9200695047784535,0.8401316484744176,5,"all","NB#5","NB",5
547,564,12,28,0.9791666666666666,0.9785330948121646,0.9791666666666666,0.9791666666666666,0.9657534246575342,0.9652476107732406,0.9304934901809222,5,"all","MLP#5","MLP",5
542,550,26,33,0.9548611111111112,0.954225352112676,0.9548611111111112,0.9548611111111112,0.9490940465918896,0.94874022589053,0.897479290994923,6,"all","DT#6","DT",6
559,564,12,16,0.9791666666666666,0.978984238178634,0.9791666666666666,0.9791666666666666,0.9757785467128027,0.9756733275412685,0.9513463245550999,6,"all","RF#6","RF",6
549,485,91,26,0.9547826086956521,0.949119373776908,0.9547826086956521,0.9547826086956521,0.9037037037037037,0.8983492615117289,0.7967183171941159,6,"all","NB#6","NB",6
559,557,19,16,0.9721739130434782,0.9720767888307156,0.9721739130434782,0.9721739130434782,0.9696444058976583,0.9695916594265855,0.9391835483836879,6,"all","MLP#6","MLP",6
548,538,38,27,0.9530434782608695,0.952212389380531,0.9530434782608695,0.9530434782608695,0.9440137812230835,0.9435273675065161,0.8870565253294406,7,"all","DT#7","DT",7
563,550,26,12,0.9791304347826087,0.9786476868327402,0.9791304347826087,0.9791304347826087,0.9673539518900344,0.9669852302345786,0.93397180615144,7,"all","RF#7","RF",7
498,544,32,77,0.9444444444444444,0.939622641509434,0.9444444444444444,0.9444444444444444,0.9089390142021719,0.9052997393570807,0.8105864679816713,7,"all","NB#7","NB",7
553,543,33,22,0.9617391304347827,0.9610619469026549,0.9617391304347827,0.9617391304347827,0.9526270456503015,0.952215464813206,0.9044324445095266,7,"all","MLP#7","MLP",7
552,550,26,23,0.96,0.9598603839441536,0.96,0.96,0.9575021682567215,0.9574283231972198,0.9148569677371632,8,"all","DT#8","DT",8
561,564,12,14,0.9791666666666666,0.9790575916230366,0.9791666666666666,0.9791666666666666,0.9774696707105719,0.9774109470026064,0.954821723495542,8,"all","RF#8","RF",8
518,546,30,57,0.9479166666666666,0.9452554744525548,0.9479166666666666,0.9479166666666666,0.9262086513994912,0.9244135534317984,0.8488208305592166,8,"all","NB#8","NB",8
560,560,16,15,0.9739130434782609,0.9739130434782609,0.9739130434782609,0.9739130434782609,0.9730668983492615,0.9730668983492615,0.9461338373583374,8,"all","MLP#8","MLP",8
